HIP	RAhms	DEdms	Vmag	Plx	ABSmag	Pc	Ly	X	Y	Z
62748	12 51 25.39	+42 28 21.8	8.32	2.82	0.5712455415968059	354.6099290780143	1156.5950354609934	-255.00346837760662	-58.1965410488231	239.4464356094239
62749	12 51 26.60	-45 17 16.4	10.85	13.02	6.423054921160865	76.80491551459292	250.50675883256525	-52.68015180877079	-12.027472627566182	-54.58146713676509
62750	12 51 26.88	+57 22 24.4	7.91	3.34	0.5287323340578229	299.40119760479035	976.5263473053891	-157.37522460752282	-35.93386784756308	252.15644538347289
62751	12 51 27.40	+11 38 54.1	10.6	13.14	6.192976826118809	76.10350076103502	248.2190258751903	-72.66535313911237	-16.594761016034003	15.365649614437675
62752	12 51 27.71	+27 14 01.6	9.3	3.46	1.995380493963884	289.0173410404623	942.6583815028899	-250.52749310761746	-57.21957919301904	132.26079682311538
62753	12 51 33.42	-42 20 35.2	9.7	2.88	1.9969624387961549	347.22222222222206	1132.499305555555	-250.17389571431582	-57.24809916406811	-233.878063636079
62754	12 51 34.22	+52 30 18.4	9.65	6.66	3.767371145851506	150.15015015015018	489.72942942942956	-89.09094362336114	-20.392379319299007	119.1302741544296
62756	12 51 35.88	-58 29 04.5	7.38	0.41	-4.556080716401321	2439.0243902439	7955.117073170724	-1242.770920116865	-284.6212155702534	-2079.2669814056635
62757	12 51 36.91	+03 03 24.3	6.02	5.6	-0.23905986496899878	178.57142857142864	582.4282142857146	-173.81420644177007	-39.82088178371841	9.522295680438507
62758	12 51 38.50	+25 30 32.1	9.09	26.54	6.209504592642083	37.67897513187642	122.89366993217787	-33.14631107744058	-7.59786287752423	16.22651252242579
62759	12 51 39.13	+00 29 46.1	9.06	0.84	-1.3186035696905911	1190.4761904761906	3882.8547619047627	-1160.3260412846946	-266.02776559368914	10.308537263898845
62760	12 51 39.93	+16 45 35.6	8.47	2.4	0.3710562085580307	416.66666666666674	1358.999166666667	-388.8723946171974	-89.18060730656244	120.15070160523659
62761	12 51 40.34	-06 07 59.2	8.32	1.63	-0.6190619779802109	613.4969325153376	2000.9803680981602	-594.5471763347214	-136.36704785491034	-65.54517203787734
62762	12 51 40.44	+38 22 07.4	10.28	8.88	5.022064828893004	112.61261261261264	367.2970720720722	-86.0571782743201	-19.738992565760277	69.90089240767325
62763	12 51 41.93	+27 32 26.6	4.93	10.62	0.06062258372725182	94.16195856873819	307.11845574387934	-81.37647039694842	-18.674623559297988	43.53852250770408
62764	12 51 42.73	+44 01 24.2	8.88	5.5	2.5818134474712195	181.8181818181819	593.0178181818185	-127.42353187423096	-29.249562177052937	126.35488861463574
62765	12 51 42.92	-32 02 42.6	8.95	3.46	1.6453804939638825	289.0173410404623	942.6583815028899	-238.76927100446747	-54.81189695782305	-153.34899607750637
62766	12 51 44.41	-33 20 45.0	8.61	13.16	4.206279446389683	75.98784194528875	247.8417933130699	-61.867020948660446	-14.209253238399747	-41.76985713223377
62767	12 51 44.76	-31 05 01.3	7.22	1.8	-1.5036374744834697	555.5555555555557	1811.9988888888893	-463.70962945282366	-106.51447550246549	-286.82751152879626
62768	12 51 44.81	-15 41 32.2	9.68	5.36	3.325823948463851	186.5671641791044	608.5070895522385	-175.05452546899193	-40.21084145609628	-50.460956115115806
62769	12 51 45.55	+19 13 43.7	8.14	11.93	3.5232022183517095	83.82229673093043	273.39463537300924	-77.13608727352371	-17.7229214627376	27.606150115601395
62770	12 51 45.83	-41 18 27.3	9.54	0.45	-2.1939374311232847	2222.2222222222254	7247.995555555566	-1626.8841102868826	-373.8309066983958	-1466.891321752024
62771	12 51 46.99	+58 44 24.1	8.41	7.97	2.9172916069805623	125.47051442910919	409.2343789209537	-63.45449011927983	-14.5864120125075	107.2549031951868
62772	12 51 47.21	+22 32 39.5	10.51	23.19	7.336503743189937	43.122035360069	140.64674428633035	-38.81435508884414	-8.922977922913399	16.532883524036578
62773	12 51 50.61	-31 12 06.8	6.97	4.01	-0.01427813689908941	249.37655860349136	813.3660847880303	-207.86927064114695	-47.84094553219427	-129.19085971779808
62774	12 51 50.78	-52 07 43.2	9.27	0.93	-0.8875852572303238	1075.2688172043008	3507.0946236559134	-643.278322944392	-148.05803723064307	-848.8078970492653
62775	12 51 51.14	-50 34 45.4	9.95	12.19	5.3800185280919095	82.03445447087775	267.5634126333059	-50.76511394144108	-11.685608007394851	-63.37192984551226
